349,gembira,349
350,gaul,350
351,dzulkarnain,351
352,duniawi,352
353,dunia,353
354,dingin,354
355,dinding,355
356,dekah,356
357,datar,357
358,cipta,358
359,capai,359
360,bunuh,360
361,boros,361
362,bilang,362
363,bilamana,363
364,berita,364
365,batil,365
366,bari,366
367,bahan,367
368,aziz,368
369,awan,369
370,akhirat,370
