231,21
21
29,11,142,151,156,33
339,35,66,143,18,176,387,178,116,2,473,387,25,2,21
140
141,69,139,347
57,21
29,11,142,151,156,33
57,21
57,187,146,149,21
113,23,106
0,76,32,30
15,5,16,3,3,423,239,239,16,3,3,162,22,480,39,44,3,3,162,281,470,224,224,0,19,3,3,162,2,23
23,177,177,0
13,305,729,217,42,305,217,42,269,269,611,0,44,44,217,165,369,217,78,42,42,119,181,42,12,12,579,164,217,317,181,590,11,11,42,42,305,533,217,269,28,647,164,181,21,0,88
0,138,138,0,81,0,130
107,107,2,302,0
27,27,2,27,150,326,331,307,30,32,27,351,27,0,7
16,2,402
98,298,261,261,298,261,34,580,71,261,34,716,98,78,98,11,34,363,363,71,0,71
479,479,34,98,76,663,22,50,389,389,0,6
68,448,265,195,489,697,498,219,219,0
0,103,499,221,196,578,0,200
93,0,93,735,131,131,284,0,43,131,131,0
195,3,3,466,0,15,180
7,8,2,168,23,177,2,39,8
2,25,37,84,164
2,30,32,24,24,496,340
83,19,2,429,7,121,280,7,240,318,310,16,28,597,127
2,8
234,234,33,2
23,340,489,725,119,45,111,0
69,488,142,60,51,5,61,242
398,685,265,70,237,398,123,100,100,136
14,29,74,7,8
103,74,8
0,65,116,75
349,0
48,134,61,134,316,5,5,285,50,48,14,49,3,3,0,0,14,41
14,29,74,7,8
74,302,14,0,270,37,37,144,275,123,225,2,10
103,74,8
6
29,11,142,151,156,33
57,21
29,360
57,187,146,149,21
6
57,21
29,11,142,151,156,33
57,21
29,360
57,187,146,149,21
0,71,263,263,51,16,114,83,2,19
29,325,0,21,33
46,46,251,46,20,0,46,20,0,19,71,0
22,56,64,297,56,64,297,36,138,127,1,399,399,0,0,100,454,247,50,50
64,1,133,63,64,175,133,0,88
28,63,133,64,1,0,110,62,53,52,4,0,1,0
8,68,410,57,614,29,615,410,276,515,505
8,68,449,57,105,29,105,451,175,105,605
8,68,79,453,79,79,453,79,339,35,561,57,373,339,29,20,500
72,18,72,14,145,66,63,8,0
6,0,719,365,22,2,0,200,22
6,100,0,550,639,6,6,270,0,41
295,483,711,254,172,296,385,433,295,483,111
28,87,87,115,0,115,0,87,87,0,15,674,115,207,621
79,79,100,92,510
79,79,100,250,698,194
37,0,471,471,37,0,233
407,79,431,37,36,36,437,91,22,23
149,233
32
30,86,749
200,81,81,37
0,99,32
202,271,271,172,172
140,331
149,38,38,15
103,30,32,15,152,30,366,152,445,445,246,457,366,240,240,184,0,2,387
32,209,112,112,206,206,438,187,254,184,0,2
646,172,156,172,167,226,7,641,32,184,0,2
241,266,709,254,752,448,265,25,184,0,2,0,115
103,7,279,117,30,32,184,0,2,346
70,417,295,37,136
538
671
315,450,36,140,7,36,140,72,0,6,3,3,348
62,628,424,657,620,185,29,722,152,545,26,152,522,376,113,554,80,0,141
0,9,739,491,713,746,58,157,0,13,415,124,82,36,0,88
11,11,0,13,4,0,1,20,0,379,356,112,112,260,192
0,6,11,381,8,8,24,540,67,110,0,106
530,15,60,8,11,11,15,3,3
93,218,206,511,292,267,413,284,284,10
29,14,0,69,157,171,54,40,703,29,81,0,666
249,2,6,54,40,29,0,267,54,40,54,40,370,610,17
249,2,6,463,54,40,54,557,325,0,54
29,0,267,54,40,54,40,299,741,376,152,375,718,730,6,463,54,40,157,308,17
74,324,74,159,43,7,1,120,43,259,259,1,728,457,259,150,0,0,594,0,88,7
47,92,238,174,102,102,299,299,0,378,190,0,141,174,0,304,6,484,571,484,675,23,114,238,92,174,667,424,56,0,0,6,3,3,7,10
324,38,38,138
526,404,404,139,210,47,329,8,11,11,0,329,532,102,8,11,11,0,36,272,102,521,11,11,0,198,13,198,11,11,0,41
1,16,15,2,0,193,193,5,5,1,1,486,486,1,1,4,172,2
4,0,1,0,70,31
4,0,1,25
0,189,93,105,165,196,294,33,127,17,1,0,70,94,97,0,428,280,542,0,141,0,126,430
4,17,0,1,45,502,10,55
11,11,0,13,4,0,1,20,0,379,356,112,112,260,192
4,0,4,1,85,96,0,16,1,289,0,276
84,1,4,165,0,355,249,0,1,249,0,67,110,88
17,105,447,20,308,23,199
13,4,0,1,95,101,0,24,24,291,91,287,116,282
13,4,1,4,0,13,4,84,119
126,0,93,4,10,0,0,22
130,0,1,62,53,52,292,153,0
13,0,1,130,59,0,192
4,0,4,1,22,22,60,1,107,0,6
43,80,43,28,131,129,277,131,10,0,17,0,268
619,51,9,2,115,105,28,63,117,317,596,76,105,451,9,0,105,17,300
18,66,140,473,114,528,509,134,151,534,231,645,145,189,93,0,17,0
17,8,33,8,8,8,8,210,566,8,17,0,10
16,5,15,651,10,25
15,2,241,241,23
38,721,507,708,68,565,318,595,490,490,365,478,478,382,2,56,240,318,38,138
7,84,0,0,71,30,32,2,87,73,91,0,1,24,222,0,163,163,5,5
3,16,3,83,2,16,346,346,2,25
18,77,45,18,77,45,0,1,10,0,205,4,0,1
4,0,1,17,17
189,0,1,1,73,0,82,7,22,257
4,0,1,177,336,167,199,21,0,21
45,0,9,9,0,1,59,59,59,0,5,272,658,245,153
131,0,643,0,1,78,642,90
12,26,44,130,44,69,139,211,248,62,53,52,4,0,1,25,0,0,89,106
110,203,237,635,560,132,69,139,211,248,119,11,11,0,265,90
702,301
17,0,13,493,328,0,2,47,58,155,6,9,271,271,598,49
17,0,13,493,380,380,0,281,10,22
452,8,0,452,159,59,549,59,370,202,0,421,16,1,43,43,552,7,87,53,52,695,377,0,81,81,130
13,124,82
26,181,12,12,181,474,564,474,350,652,211,8,59,0,0,97,308,11,43,257
414,0,1,1,11,506
90,414,0,1,1,11,245,108
352,4,0,1,28,0,10,192
